# host seconds after t0	host UTC at the newline	line
0.7926	2026-09-24T13:42:14.246Z	W00000ec300021de901
0.7926	2026-09-24T13:42:14.246Z	R00000ec300021de8ff
0.7926	2026-09-24T13:42:14.246Z	E000000000000000000
0.8157	2026-09-24T13:42:14.269Z	M000000000000000000
0.8157	2026-09-24T13:42:14.269Z	Fffffffff0000000000
0.8157	2026-09-24T13:42:14.269Z	S011717003f2693dcd5
14.7550	2026-09-24T13:42:28.209Z	H7deeef160102000bb8
14.7550	2026-09-24T13:42:28.209Z	S000000000000000004
14.7550	2026-09-24T13:42:28.209Z	S0011110000000218c9
15.5463	2026-09-24T13:42:29.000Z	S001111000004044dc9
16.3620	2026-09-24T13:42:29.816Z	S001111000008044dcd
16.4540	2026-09-24T13:42:29.908Z	S001212000008788b15
16.5461	2026-09-24T13:42:30.000Z	S001313000009000573
17.3752	2026-09-24T13:42:30.829Z	S00131300000d000577
18.0416	2026-09-24T13:42:31.495Z	S00141400001056561b
18.8402	2026-09-24T13:42:32.294Z	S00141400001456561f
19.1008	2026-09-24T13:42:32.554Z	S00151500001598560d
19.8889	2026-09-24T13:42:33.342Z	S001515000019985611
19.9336	2026-09-24T13:42:33.387Z	S001616000019cea58b
19.9336	2026-09-24T13:42:33.387Z	S011717000019cea59b
19.9336	2026-09-24T13:42:33.387Z	G020000000102000000
19.9579	2026-09-24T13:42:33.411Z	K000000610019cea59b
19.9579	2026-09-24T13:42:33.411Z	L000000000001000000
20.7528	2026-09-24T13:42:34.206Z	S01171700001dd0be54
20.7960	2026-09-24T13:42:34.249Z	W0000000000021de8fd
20.7960	2026-09-24T13:42:34.250Z	R0000000000021de921
20.7960	2026-09-24T13:42:34.250Z	E000000000000000000
20.7960	2026-09-24T13:42:34.250Z	M000000000000000000
20.7960	2026-09-24T13:42:34.250Z	Fffffffff0000000000
21.5421	2026-09-24T13:42:34.996Z	S011717000021d0be58
21.6584	2026-09-24T13:42:35.112Z	W0000000100021de923
21.6584	2026-09-24T13:42:35.112Z	R0000000100021de8ff
21.6584	2026-09-24T13:42:35.112Z	E000000000000000000
21.6584	2026-09-24T13:42:35.112Z	M000000000000000000
21.6584	2026-09-24T13:42:35.112Z	Fffffffff0000000000
22.3474	2026-09-24T13:42:35.801Z	S011717000025d0be5c
22.5138	2026-09-24T13:42:35.967Z	W0000000200021de922
22.5138	2026-09-24T13:42:35.967Z	R0000000200021de900
22.5138	2026-09-24T13:42:35.967Z	E000000000000000000
22.5382	2026-09-24T13:42:35.992Z	M000000000000000000
22.5382	2026-09-24T13:42:35.992Z	Fffffffff0000000000
23.1677	2026-09-24T13:42:36.621Z	S011717000029d0be60
23.3845	2026-09-24T13:42:36.838Z	W0000000300021de922
23.3845	2026-09-24T13:42:36.838Z	R0000000300021de900
23.3845	2026-09-24T13:42:36.838Z	E000000000000000000
23.3845	2026-09-24T13:42:36.838Z	M000000000000000000
23.3845	2026-09-24T13:42:36.838Z	Fffffffff0000000000
23.9722	2026-09-24T13:42:37.426Z	S01171700002dd0be64
24.2299	2026-09-24T13:42:37.683Z	W0000000400021de910
24.2299	2026-09-24T13:42:37.683Z	R0000000400021de8ff
24.2299	2026-09-24T13:42:37.683Z	E000000000000000000
24.2524	2026-09-24T13:42:37.706Z	M000000000000000000
24.2524	2026-09-24T13:42:37.706Z	Fffffffff0000000000
24.7634	2026-09-24T13:42:38.217Z	S011717000031d0be68
25.0920	2026-09-24T13:42:38.545Z	W0000000500021de901
25.0920	2026-09-24T13:42:38.545Z	R0000000500021de8ff
25.0920	2026-09-24T13:42:38.545Z	E000000000000000000
25.0920	2026-09-24T13:42:38.545Z	M000000000000000000
25.0920	2026-09-24T13:42:38.545Z	Fffffffff0000000000
25.5687	2026-09-24T13:42:39.022Z	S011717000035d0be6c
25.9464	2026-09-24T13:42:39.400Z	W0000000600021de8fd
25.9464	2026-09-24T13:42:39.400Z	R0000000600021de8ff
25.9464	2026-09-24T13:42:39.400Z	E000000000000000000
25.9704	2026-09-24T13:42:39.424Z	M000000000000000000
25.9704	2026-09-24T13:42:39.424Z	Fffffffff0000000000
26.3798	2026-09-24T13:42:39.833Z	S011717000039d0be70
26.8087	2026-09-24T13:42:40.262Z	W0000000700021de901
26.8087	2026-09-24T13:42:40.262Z	R0000000700021de8ff
26.8087	2026-09-24T13:42:40.262Z	E000000000000000000
26.8334	2026-09-24T13:42:40.287Z	M000000000000000000
26.8334	2026-09-24T13:42:40.287Z	Fffffffff0000000000
27.1919	2026-09-24T13:42:40.645Z	S01171700003dd0be74
27.6670	2026-09-24T13:42:41.120Z	W0000000800021de8fd
27.6670	2026-09-24T13:42:41.120Z	R0000000800021de8ff
27.6670	2026-09-24T13:42:41.120Z	E000000000000000000
27.6908	2026-09-24T13:42:41.144Z	M000000000000000000
27.6908	2026-09-24T13:42:41.144Z	Fffffffff0000000000
28.0041	2026-09-24T13:42:41.458Z	S011717000041d0be78
28.5239	2026-09-24T13:42:41.977Z	W0000000900021de901
28.5239	2026-09-24T13:42:41.977Z	R0000000900021de8ff
28.5239	2026-09-24T13:42:41.977Z	E000000000000000000
28.5466	2026-09-24T13:42:42.000Z	M000000000000000000
28.5466	2026-09-24T13:42:42.000Z	Fffffffff0000000000
28.7899	2026-09-24T13:42:42.243Z	S011717000045d0be7c
29.4044	2026-09-24T13:42:42.858Z	W0000000a00021de8fd
29.4044	2026-09-24T13:42:42.858Z	R0000000a00021de8ff
29.4044	2026-09-24T13:42:42.858Z	E000000000000000000
29.4044	2026-09-24T13:42:42.858Z	M000000000000000000
29.4044	2026-09-24T13:42:42.858Z	Fffffffff0000000000
29.5953	2026-09-24T13:42:43.049Z	S011717000049d0be80
30.2447	2026-09-24T13:42:43.698Z	W0000000b00021de901
30.2447	2026-09-24T13:42:43.698Z	R0000000b00021de8ff
30.2447	2026-09-24T13:42:43.698Z	E000000000000000000
30.2678	2026-09-24T13:42:43.721Z	M000000000000000000
30.2678	2026-09-24T13:42:43.721Z	Fffffffff0000000000
30.4141	2026-09-24T13:42:43.867Z	S01171700004dd0be84
31.1173	2026-09-24T13:42:44.571Z	W0000000c00021de8fd
31.1173	2026-09-24T13:42:44.571Z	R0000000c00021de8ff
31.1173	2026-09-24T13:42:44.571Z	E000000000000000000
31.1173	2026-09-24T13:42:44.571Z	M000000000000000000
31.1173	2026-09-24T13:42:44.571Z	Fffffffff0000000000
31.2108	2026-09-24T13:42:44.664Z	S011717000051d0be88
31.9678	2026-09-24T13:42:45.421Z	W0000000d00021de901
31.9678	2026-09-24T13:42:45.421Z	R0000000d00021de8ff
31.9678	2026-09-24T13:42:45.421Z	E000000000000000000
31.9678	2026-09-24T13:42:45.421Z	M000000000000000000
31.9678	2026-09-24T13:42:45.421Z	Fffffffff0000000000
32.0135	2026-09-24T13:42:45.467Z	S011717000055d0be8c
32.8212	2026-09-24T13:42:46.275Z	S011717000059d0be90
32.8212	2026-09-24T13:42:46.275Z	W0000000e00021de8fd
32.8212	2026-09-24T13:42:46.275Z	R0000000e00021de8ff
32.8455	2026-09-24T13:42:46.299Z	E000000000000000000
32.8455	2026-09-24T13:42:46.299Z	M000000000000000000
32.8455	2026-09-24T13:42:46.299Z	Fffffffff0000000000
33.6383	2026-09-24T13:42:47.092Z	S01171700005dd0be94
33.6795	2026-09-24T13:42:47.133Z	W0000000f00021de8fd
33.6795	2026-09-24T13:42:47.133Z	R0000000f00021de926
33.6795	2026-09-24T13:42:47.133Z	E000000000000000000
33.7003	2026-09-24T13:42:47.154Z	M000000000000000000
33.7003	2026-09-24T13:42:47.154Z	Fffffffff0000000000
34.4336	2026-09-24T13:42:47.887Z	S011717000061d0be98
34.5509	2026-09-24T13:42:48.004Z	W0000001000021de8fd
34.5509	2026-09-24T13:42:48.004Z	R0000001000021de925
34.5509	2026-09-24T13:42:48.004Z	E000000000000000000
34.5509	2026-09-24T13:42:48.004Z	M000000000000000000
34.5509	2026-09-24T13:42:48.004Z	Fffffffff0000000000
35.2336	2026-09-24T13:42:48.687Z	S011717000065d0be9c
35.3977	2026-09-24T13:42:48.851Z	W0000001100021de8fd
35.3977	2026-09-24T13:42:48.851Z	R0000001100021de926
35.3977	2026-09-24T13:42:48.851Z	E000000000000000000
35.4191	2026-09-24T13:42:48.872Z	M000000000000000000
35.4191	2026-09-24T13:42:48.872Z	Fffffffff0000000000
36.0428	2026-09-24T13:42:49.496Z	S011717000069d0bea0
36.2569	2026-09-24T13:42:49.710Z	W0000001200021de923
36.2569	2026-09-24T13:42:49.710Z	R0000001200021de900
36.2569	2026-09-24T13:42:49.710Z	E000000000000000000
36.2792	2026-09-24T13:42:49.732Z	M000000000000000000
36.2792	2026-09-24T13:42:49.732Z	Fffffffff0000000000
36.8478	2026-09-24T13:42:50.301Z	S01171700006dd0bea4
37.1212	2026-09-24T13:42:50.575Z	W0000001300021de923
37.1212	2026-09-24T13:42:50.575Z	R0000001300021de900
37.1212	2026-09-24T13:42:50.575Z	E000000000000000000
37.1212	2026-09-24T13:42:50.575Z	M000000000000000000
37.1212	2026-09-24T13:42:50.575Z	Fffffffff0000000000
37.6616	2026-09-24T13:42:51.115Z	S011717000071d0bea8
37.9803	2026-09-24T13:42:51.434Z	W0000001400021de923
37.9803	2026-09-24T13:42:51.434Z	R0000001400021de8ff
37.9803	2026-09-24T13:42:51.434Z	E000000000000000000
37.9803	2026-09-24T13:42:51.434Z	M000000000000000000
37.9803	2026-09-24T13:42:51.434Z	Fffffffff0000000000
38.4592	2026-09-24T13:42:51.913Z	S011717000075d0beac
38.8389	2026-09-24T13:42:52.292Z	W0000001500021de923
38.8389	2026-09-24T13:42:52.292Z	R0000001500021de900
38.8389	2026-09-24T13:42:52.292Z	E000000000000000000
38.8622	2026-09-24T13:42:52.315Z	M000000000000000000
38.8622	2026-09-24T13:42:52.315Z	Fffffffff0000000000
39.2589	2026-09-24T13:42:52.712Z	S011717000079d0beb0
39.6987	2026-09-24T13:42:53.152Z	W0000001600021de8fe
39.6987	2026-09-24T13:42:53.152Z	R0000001600021de8ff
39.6987	2026-09-24T13:42:53.152Z	E000000000000000000
39.6987	2026-09-24T13:42:53.152Z	M000000000000000000
39.6987	2026-09-24T13:42:53.152Z	Fffffffff0000000000
40.0677	2026-09-24T13:42:53.521Z	S01171700007dd0beb4
40.5699	2026-09-24T13:42:54.023Z	W0000001700021de901
40.5699	2026-09-24T13:42:54.023Z	R0000001700021de8ff
40.5699	2026-09-24T13:42:54.023Z	E000000000000000000
40.5699	2026-09-24T13:42:54.023Z	M000000000000000000
40.5699	2026-09-24T13:42:54.023Z	Fffffffff0000000000
40.8882	2026-09-24T13:42:54.341Z	S011717000081d0beb8
41.4148	2026-09-24T13:42:54.868Z	W0000001800021de8fd
41.4148	2026-09-24T13:42:54.868Z	R0000001800021de8ff
41.4148	2026-09-24T13:42:54.868Z	E000000000000000000
41.4393	2026-09-24T13:42:54.893Z	M000000000000000000
41.4393	2026-09-24T13:42:54.893Z	Fffffffff0000000000
41.6904	2026-09-24T13:42:55.144Z	S011717000085d0bebc
42.2724	2026-09-24T13:42:55.726Z	W0000001900021de901
42.2724	2026-09-24T13:42:55.726Z	R0000001900021de8ff
42.2724	2026-09-24T13:42:55.726Z	E000000000000000000
42.2952	2026-09-24T13:42:55.748Z	M000000000000000000
42.2952	2026-09-24T13:42:55.748Z	Fffffffff0000000000
42.5016	2026-09-24T13:42:55.955Z	S011717000089d0bec0
43.1308	2026-09-24T13:42:56.584Z	W0000001a00021de8fd
43.1308	2026-09-24T13:42:56.584Z	R0000001a00021de8ff
43.1308	2026-09-24T13:42:56.584Z	E000000000000000000
43.1531	2026-09-24T13:42:56.606Z	M000000000000000000
43.1531	2026-09-24T13:42:56.606Z	Fffffffff0000000000
43.2932	2026-09-24T13:42:56.746Z	S01171700008dd0bec4
44.0034	2026-09-24T13:42:57.457Z	W0000001b00021de901
44.0034	2026-09-24T13:42:57.457Z	R0000001b00021de8ff
44.0034	2026-09-24T13:42:57.457Z	E000000000000000000
44.0034	2026-09-24T13:42:57.457Z	M000000000000000000
44.0034	2026-09-24T13:42:57.457Z	Fffffffff0000000000
44.0945	2026-09-24T13:42:57.548Z	S011717000091d0bec8
44.8681	2026-09-24T13:42:58.321Z	W0000001c00021de8fd
44.8681	2026-09-24T13:42:58.321Z	R0000001c00021de8ff
44.8681	2026-09-24T13:42:58.321Z	E000000000000000000
44.8681	2026-09-24T13:42:58.321Z	M000000000000000000
44.8681	2026-09-24T13:42:58.321Z	Fffffffff0000000000
44.9122	2026-09-24T13:42:58.365Z	S011717000095d0becc
45.7114	2026-09-24T13:42:59.165Z	S011717000099d0bed0
45.7114	2026-09-24T13:42:59.165Z	W0000001d00021de901
45.7114	2026-09-24T13:42:59.165Z	R0000001d00021de8ff
45.7114	2026-09-24T13:42:59.165Z	E000000000000000000
45.7323	2026-09-24T13:42:59.185Z	M000000000000000000
45.7323	2026-09-24T13:42:59.185Z	Fffffffff0000000000
46.5232	2026-09-24T13:42:59.976Z	S01171700009dd0bed4
46.5674	2026-09-24T13:43:00.021Z	W0000001e00021de8fd
46.5674	2026-09-24T13:43:00.021Z	R0000001e00021de8ff
46.5674	2026-09-24T13:43:00.021Z	E000000000000000000
46.5882	2026-09-24T13:43:00.041Z	M000000000000000000
46.5882	2026-09-24T13:43:00.041Z	Fffffffff0000000000
47.3120	2026-09-24T13:43:00.765Z	S0117170000a1d0bed8
47.4455	2026-09-24T13:43:00.899Z	W0000001f00021de901
47.4455	2026-09-24T13:43:00.899Z	R0000001f00021de8ff
47.4455	2026-09-24T13:43:00.899Z	E000000000000000000
47.4455	2026-09-24T13:43:00.899Z	M000000000000000000
47.4455	2026-09-24T13:43:00.899Z	Fffffffff0000000000
48.1323	2026-09-24T13:43:01.585Z	S0117170000a5d0bedc
48.2973	2026-09-24T13:43:01.750Z	W0000002000021de8fd
48.2973	2026-09-24T13:43:01.750Z	R0000002000021de8ff
48.2973	2026-09-24T13:43:01.751Z	E000000000000000000
48.2973	2026-09-24T13:43:01.751Z	M000000000000000000
48.2973	2026-09-24T13:43:01.751Z	Fffffffff0000000000
48.9330	2026-09-24T13:43:02.386Z	S0117170000a9d0bee0
49.1488	2026-09-24T13:43:02.602Z	W0000002100021de901
49.1488	2026-09-24T13:43:02.602Z	R0000002100021de8ff
49.1488	2026-09-24T13:43:02.602Z	E000000000000000000
49.1730	2026-09-24T13:43:02.626Z	M000000000000000000
49.1730	2026-09-24T13:43:02.626Z	Fffffffff0000000000
49.7285	2026-09-24T13:43:03.182Z	S0117170000add0bee4
50.0084	2026-09-24T13:43:03.462Z	W0000002200021de8fd
50.0084	2026-09-24T13:43:03.462Z	R0000002200021de8ff
50.0084	2026-09-24T13:43:03.462Z	E000000000000000000
50.0321	2026-09-24T13:43:03.485Z	M000000000000000000
50.0321	2026-09-24T13:43:03.485Z	Fffffffff0000000000
50.5525	2026-09-24T13:43:04.006Z	S0117170000b1d0bee8
50.8795	2026-09-24T13:43:04.333Z	W0000002300021de901
50.8795	2026-09-24T13:43:04.333Z	R0000002300021de8ff
50.8795	2026-09-24T13:43:04.333Z	E000000000000000000
50.8795	2026-09-24T13:43:04.333Z	M000000000000000000
50.8795	2026-09-24T13:43:04.333Z	Fffffffff0000000000
51.3556	2026-09-24T13:43:04.809Z	S0117170000b5d0beec
51.7393	2026-09-24T13:43:05.192Z	W0000002400021de8fd
51.7393	2026-09-24T13:43:05.192Z	R0000002400021de8ff
51.7393	2026-09-24T13:43:05.192Z	E000000000000000000
51.7393	2026-09-24T13:43:05.192Z	M000000000000000000
51.7393	2026-09-24T13:43:05.192Z	Fffffffff0000000000
52.1602	2026-09-24T13:43:05.613Z	S0117170000b9d0bef0
52.5863	2026-09-24T13:43:06.039Z	W0000002500021de901
52.5863	2026-09-24T13:43:06.039Z	R0000002500021de8ff
52.5863	2026-09-24T13:43:06.040Z	E000000000000000000
52.6088	2026-09-24T13:43:06.062Z	M000000000000000000
52.6088	2026-09-24T13:43:06.062Z	Fffffffff0000000000
52.9492	2026-09-24T13:43:06.402Z	S0117170000bdd0bef4
53.4436	2026-09-24T13:43:06.897Z	W0000002600021de8fd
53.4436	2026-09-24T13:43:06.897Z	R0000002600021de8ff
53.4436	2026-09-24T13:43:06.897Z	E000000000000000000
53.4663	2026-09-24T13:43:06.919Z	M000000000000000000
53.4663	2026-09-24T13:43:06.919Z	Fffffffff0000000000
53.7618	2026-09-24T13:43:07.215Z	S0117170000c1d0bef8
54.3175	2026-09-24T13:43:07.771Z	W0000002700021de901
54.3175	2026-09-24T13:43:07.771Z	R0000002700021de8ff
54.3175	2026-09-24T13:43:07.771Z	E000000000000000000
54.3175	2026-09-24T13:43:07.771Z	M000000000000000000
54.3175	2026-09-24T13:43:07.771Z	Fffffffff0000000000
54.5783	2026-09-24T13:43:08.031Z	S0117170000c5d0befc
55.1797	2026-09-24T13:43:08.633Z	W0000002800021de8fd
55.1797	2026-09-24T13:43:08.633Z	R0000002800021de8ff
55.1797	2026-09-24T13:43:08.633Z	E000000000000000000
55.1797	2026-09-24T13:43:08.633Z	M000000000000000000
55.1797	2026-09-24T13:43:08.633Z	Fffffffff0000000000
55.3702	2026-09-24T13:43:08.823Z	S0117170000c9d0bf00
56.0218	2026-09-24T13:43:09.475Z	W0000002900021de901
56.0218	2026-09-24T13:43:09.475Z	R0000002900021de8ff
56.0218	2026-09-24T13:43:09.475Z	E000000000000000000
56.0462	2026-09-24T13:43:09.499Z	M000000000000000000
56.0462	2026-09-24T13:43:09.499Z	Fffffffff0000000000
56.1837	2026-09-24T13:43:09.637Z	S0117170000cdd0bf04
56.8787	2026-09-24T13:43:10.332Z	W0000002a00021de8fd
56.8787	2026-09-24T13:43:10.332Z	R0000002a00021de8ff
56.8787	2026-09-24T13:43:10.332Z	E000000000000000000
56.9021	2026-09-24T13:43:10.355Z	M000000000000000000
56.9021	2026-09-24T13:43:10.355Z	Fffffffff0000000000
56.9951	2026-09-24T13:43:10.448Z	S0117170000d1d0bf08
57.7373	2026-09-24T13:43:11.190Z	W0000002b00021de901
57.7373	2026-09-24T13:43:11.190Z	R0000002b00021de8ff
57.7373	2026-09-24T13:43:11.190Z	E000000000000000000
57.7595	2026-09-24T13:43:11.213Z	M000000000000000000
57.7595	2026-09-24T13:43:11.213Z	Fffffffff0000000000
57.8040	2026-09-24T13:43:11.257Z	S0117170000d5d0bf0c
58.6002	2026-09-24T13:43:12.053Z	S0117170000d9d0bf10
58.6002	2026-09-24T13:43:12.053Z	W0000002c00021de8fd
58.6002	2026-09-24T13:43:12.053Z	R0000002c00021de8ff
58.6002	2026-09-24T13:43:12.053Z	E000000000000000000
58.6250	2026-09-24T13:43:12.078Z	M000000000000000000
58.6250	2026-09-24T13:43:12.078Z	Fffffffff0000000000
59.4004	2026-09-24T13:43:12.853Z	S0117170000ddd0bf14
59.4717	2026-09-24T13:43:12.925Z	W0000002d00021de901
59.4717	2026-09-24T13:43:12.925Z	R0000002d00021de8ff
59.4717	2026-09-24T13:43:12.925Z	E000000000000000000
59.4717	2026-09-24T13:43:12.925Z	M000000000000000000
59.4717	2026-09-24T13:43:12.925Z	Fffffffff0000000000
60.2019	2026-09-24T13:43:13.655Z	S0117170000e1d0bf18
60.3172	2026-09-24T13:43:13.770Z	W0000002e00021de8fd
60.3172	2026-09-24T13:43:13.770Z	R0000002e00021de8ff
60.3172	2026-09-24T13:43:13.770Z	E000000000000000000
60.3417	2026-09-24T13:43:13.795Z	M000000000000000000
60.3417	2026-09-24T13:43:13.795Z	Fffffffff0000000000
61.0024	2026-09-24T13:43:14.455Z	S0117170000e5d0bf1c
61.1894	2026-09-24T13:43:14.642Z	W0000002f00021de901
61.1894	2026-09-24T13:43:14.642Z	R0000002f00021de8ff
