# host seconds after t0	host UTC at the newline	line
0.3051	2026-09-24T11:50:55.652Z	S011717004ef3102dac
1.1181	2026-09-24T11:50:56.465Z	S011717004ef7124671
14.6452	2026-09-24T11:51:09.992Z	H7deeef160102000bb8
14.6452	2026-09-24T11:51:09.992Z	S000000000000000004
14.6452	2026-09-24T11:51:09.992Z	S0011110000000218c9
15.4377	2026-09-24T11:51:10.784Z	S001111000004044dc9
16.2665	2026-09-24T11:51:11.613Z	S001111000008044dcd
16.3372	2026-09-24T11:51:11.684Z	S001212000008788b15
16.4529	2026-09-24T11:51:11.799Z	S001313000009000573
17.2547	2026-09-24T11:51:12.601Z	S00131300000d000577
17.9194	2026-09-24T11:51:13.266Z	S00141400001056561b
18.7230	2026-09-24T11:51:14.069Z	S00141400001456561f
18.9838	2026-09-24T11:51:14.330Z	S00151500001598560d
19.7866	2026-09-24T11:51:15.133Z	S001515000019985611
19.8268	2026-09-24T11:51:15.173Z	S001616000019cea58b
19.8268	2026-09-24T11:51:15.173Z	S011717000019cea59b
19.8268	2026-09-24T11:51:15.173Z	G020000000102000000
19.8508	2026-09-24T11:51:15.197Z	K000000610019cea59b
19.8508	2026-09-24T11:51:15.197Z	L000000000001000000
20.6539	2026-09-24T11:51:16.000Z	S01171700001dd0be54
20.7011	2026-09-24T11:51:16.047Z	W0000000000021de8fd
20.7011	2026-09-24T11:51:16.047Z	R0000000000021de921
20.7011	2026-09-24T11:51:16.047Z	E000000000000000000
20.7011	2026-09-24T11:51:16.047Z	M000000000000000000
20.7011	2026-09-24T11:51:16.047Z	Fffffffff0000000000
21.4516	2026-09-24T11:51:16.798Z	S011717000021d0be58
21.5454	2026-09-24T11:51:16.892Z	W0000000100021de923
21.5454	2026-09-24T11:51:16.892Z	R0000000100021de8ff
21.5454	2026-09-24T11:51:16.892Z	E000000000000000000
21.5694	2026-09-24T11:51:16.916Z	M000000000000000000
21.5694	2026-09-24T11:51:16.916Z	Fffffffff0000000000
22.2460	2026-09-24T11:51:17.592Z	S011717000025d0be5c
22.4179	2026-09-24T11:51:17.764Z	W0000000200021de922
22.4179	2026-09-24T11:51:17.764Z	R0000000200021de900
22.4179	2026-09-24T11:51:17.764Z	E000000000000000000
22.4179	2026-09-24T11:51:17.764Z	M000000000000000000
