# host seconds after t0	host UTC at the newline	line
0.5532	2026-09-24T13:43:35.253Z	W0000004700021de901
0.5532	2026-09-24T13:43:35.253Z	R0000004700021de8ff
0.5532	2026-09-24T13:43:35.253Z	E000000000000000000
0.5532	2026-09-24T13:43:35.253Z	M000000000000000000
0.5532	2026-09-24T13:43:35.253Z	Fffffffff0000000000
0.6936	2026-09-24T13:43:35.393Z	S01171700014dd0bf84
14.6791	2026-09-24T13:43:49.379Z	H7deeef160104000bb8
14.6791	2026-09-24T13:43:49.379Z	S000000000000000004
14.6791	2026-09-24T13:43:49.379Z	S0011110000000218c9
15.4877	2026-09-24T13:43:50.187Z	S001111000004044dc9
16.2904	2026-09-24T13:43:50.990Z	S001111000008044dcd
17.0806	2026-09-24T13:43:51.780Z	S00111100000c044dd1
17.8971	2026-09-24T13:43:52.597Z	S001111000010044dd5
18.0831	2026-09-24T13:43:52.783Z	S001212000010f038d4
18.1761	2026-09-24T13:43:52.876Z	S00131300001177b333
18.9962	2026-09-24T13:43:53.696Z	S00131300001577b337
19.6645	2026-09-24T13:43:54.364Z	S001414000018ce03d9
20.4585	2026-09-24T13:43:55.158Z	S00141400001cce03dd
20.7164	2026-09-24T13:43:55.416Z	S00151500001e1003cb
21.5230	2026-09-24T13:43:56.222Z	S0015150000221003cf
21.5640	2026-09-24T13:43:56.264Z	S001616000022465349
21.5640	2026-09-24T13:43:56.264Z	S011717000022465359
21.5640	2026-09-24T13:43:56.264Z	G020000000104000000
21.5640	2026-09-24T13:43:56.264Z	K000000610022465359
21.5640	2026-09-24T13:43:56.264Z	L000000000001000000
22.3679	2026-09-24T13:43:57.067Z	S011717000026486c12
22.4323	2026-09-24T13:43:57.132Z	W0000000000021de923
22.4323	2026-09-24T13:43:57.132Z	R0000000000021de900
22.4323	2026-09-24T13:43:57.132Z	E000000000000000000
22.4323	2026-09-24T13:43:57.132Z	M000000000000000000
22.4323	2026-09-24T13:43:57.132Z	Fffffffff0000000000
23.1669	2026-09-24T13:43:57.866Z	S01171700002a486c16
23.2861	2026-09-24T13:43:57.986Z	W0000000100021de91a
23.2861	2026-09-24T13:43:57.986Z	R0000000100021de8ff
23.2861	2026-09-24T13:43:57.986Z	E000000000000000000
23.2861	2026-09-24T13:43:57.986Z	M000000000000000000
23.2861	2026-09-24T13:43:57.986Z	Fffffffff0000000000
23.9925	2026-09-24T13:43:58.692Z	S01171700002e486c1a
24.1341	2026-09-24T13:43:58.834Z	W0000000200021de8fd
24.1341	2026-09-24T13:43:58.834Z	R0000000200021de8ff
24.1341	2026-09-24T13:43:58.834Z	E000000000000000000
24.1580	2026-09-24T13:43:58.857Z	M000000000000000000
24.1580	2026-09-24T13:43:58.857Z	Fffffffff0000000000
24.7827	2026-09-24T13:43:59.482Z	S011717000032486c1e
24.9934	2026-09-24T13:43:59.693Z	W0000000300021de901
24.9934	2026-09-24T13:43:59.693Z	R0000000300021de8ff
24.9934	2026-09-24T13:43:59.693Z	E000000000000000000
25.0164	2026-09-24T13:43:59.716Z	M000000000000000000
25.0164	2026-09-24T13:43:59.716Z	Fffffffff0000000000
25.5970	2026-09-24T13:44:00.296Z	S011717000036486c22
25.8577	2026-09-24T13:44:00.557Z	W0000000400021de8fd
25.8577	2026-09-24T13:44:00.557Z	R0000000400021de8ff
25.8577	2026-09-24T13:44:00.557Z	E000000000000000000
25.8577	2026-09-24T13:44:00.557Z	M000000000000000000
25.8577	2026-09-24T13:44:00.557Z	Fffffffff0000000000
26.4037	2026-09-24T13:44:01.103Z	S01171700003a486c26
26.7150	2026-09-24T13:44:01.414Z	W0000000500021de901
26.7150	2026-09-24T13:44:01.415Z	R0000000500021de8ff
26.7150	2026-09-24T13:44:01.415Z	E000000000000000000
26.7398	2026-09-24T13:44:01.439Z	M000000000000000000
26.7398	2026-09-24T13:44:01.439Z	Fffffffff0000000000
27.1934	2026-09-24T13:44:01.893Z	S01171700003e486c2a
27.5939	2026-09-24T13:44:02.293Z	W0000000600021de8fd
27.5939	2026-09-24T13:44:02.293Z	R0000000600021de8ff
27.5939	2026-09-24T13:44:02.293Z	E000000000000000000
27.5939	2026-09-24T13:44:02.293Z	M000000000000000000
27.5939	2026-09-24T13:44:02.293Z	Fffffffff0000000000
27.9988	2026-09-24T13:44:02.698Z	S011717000042486c2e
28.4301	2026-09-24T13:44:03.129Z	W0000000700021de901
28.4301	2026-09-24T13:44:03.129Z	R0000000700021de8ff
28.4301	2026-09-24T13:44:03.129Z	E000000000000000000
28.4539	2026-09-24T13:44:03.153Z	M000000000000000000
28.4539	2026-09-24T13:44:03.153Z	Fffffffff0000000000
28.8128	2026-09-24T13:44:03.512Z	S011717000046486c32
29.3071	2026-09-24T13:44:04.006Z	W0000000800021de8fd
29.3071	2026-09-24T13:44:04.007Z	R0000000800021de8ff
29.3071	2026-09-24T13:44:04.007Z	E000000000000000000
29.3071	2026-09-24T13:44:04.007Z	M000000000000000000
29.3071	2026-09-24T13:44:04.007Z	Fffffffff0000000000
29.6114	2026-09-24T13:44:04.311Z	S01171700004a486c36
30.1487	2026-09-24T13:44:04.848Z	W0000000900021de901
30.1487	2026-09-24T13:44:04.848Z	R0000000900021de8ff
30.1487	2026-09-24T13:44:04.848Z	E000000000000000000
30.1718	2026-09-24T13:44:04.871Z	M000000000000000000
30.1718	2026-09-24T13:44:04.871Z	Fffffffff0000000000
30.4353	2026-09-24T13:44:05.135Z	S01171700004e486c3a
31.0190	2026-09-24T13:44:05.718Z	W0000000a00021de8fd
31.0190	2026-09-24T13:44:05.718Z	R0000000a00021de8ff
31.0190	2026-09-24T13:44:05.718Z	E000000000000000000
31.0190	2026-09-24T13:44:05.718Z	M000000000000000000
31.0190	2026-09-24T13:44:05.718Z	Fffffffff0000000000
31.2200	2026-09-24T13:44:05.919Z	S011717000052486c3e
31.8739	2026-09-24T13:44:06.573Z	W0000000b00021de901
31.8739	2026-09-24T13:44:06.573Z	R0000000b00021de8ff
31.8739	2026-09-24T13:44:06.573Z	E000000000000000000
31.8739	2026-09-24T13:44:06.573Z	M000000000000000000
31.8739	2026-09-24T13:44:06.573Z	Fffffffff0000000000
32.0438	2026-09-24T13:44:06.743Z	S011717000056486c42
32.7426	2026-09-24T13:44:07.442Z	W0000000c00021de8fd
32.7426	2026-09-24T13:44:07.442Z	R0000000c00021de8ff
32.7426	2026-09-24T13:44:07.442Z	E000000000000000000
32.7426	2026-09-24T13:44:07.442Z	M000000000000000000
32.7426	2026-09-24T13:44:07.442Z	Fffffffff0000000000
32.8331	2026-09-24T13:44:07.532Z	S01171700005a486c46
33.6075	2026-09-24T13:44:08.307Z	W0000000d00021de901
33.6075	2026-09-24T13:44:08.307Z	R0000000d00021de8ff
33.6075	2026-09-24T13:44:08.307Z	E000000000000000000
33.6075	2026-09-24T13:44:08.307Z	M000000000000000000
33.6075	2026-09-24T13:44:08.307Z	Fffffffff0000000000
33.6509	2026-09-24T13:44:08.350Z	S01171700005e486c4a
34.4432	2026-09-24T13:44:09.143Z	S011717000062486c4e
34.4432	2026-09-24T13:44:09.143Z	W0000000e00021de8fd
34.4432	2026-09-24T13:44:09.143Z	R0000000e00021de8ff
34.4664	2026-09-24T13:44:09.166Z	E000000000000000000
34.4664	2026-09-24T13:44:09.166Z	M000000000000000000
34.4664	2026-09-24T13:44:09.166Z	Fffffffff0000000000
35.2554	2026-09-24T13:44:09.955Z	S011717000066486c52
35.3242	2026-09-24T13:44:10.024Z	W0000000f00021de8fd
35.3242	2026-09-24T13:44:10.024Z	R0000000f00021de91f
35.3242	2026-09-24T13:44:10.024Z	E000000000000000000
35.3242	2026-09-24T13:44:10.024Z	M000000000000000000
35.3242	2026-09-24T13:44:10.024Z	Fffffffff0000000000
36.0519	2026-09-24T13:44:10.751Z	S01171700006a486c56
36.1731	2026-09-24T13:44:10.872Z	W0000001000021de923
36.1731	2026-09-24T13:44:10.872Z	R0000001000021de901
36.1731	2026-09-24T13:44:10.872Z	E000000000000000000
36.1731	2026-09-24T13:44:10.873Z	M000000000000000000
36.1731	2026-09-24T13:44:10.873Z	Fffffffff0000000000
36.8649	2026-09-24T13:44:11.564Z	S01171700006e486c5a
37.0269	2026-09-24T13:44:11.726Z	W0000001100021de923
37.0269	2026-09-24T13:44:11.726Z	R0000001100021de900
37.0269	2026-09-24T13:44:11.726Z	E000000000000000000
37.0503	2026-09-24T13:44:11.750Z	M000000000000000000
37.0503	2026-09-24T13:44:11.750Z	Fffffffff0000000000
37.6691	2026-09-24T13:44:12.368Z	S011717000072486c5e
37.8829	2026-09-24T13:44:12.582Z	W0000001200021de923
37.8829	2026-09-24T13:44:12.582Z	R0000001200021de8ff
37.8829	2026-09-24T13:44:12.582Z	E000000000000000000
37.9066	2026-09-24T13:44:12.606Z	M000000000000000000
37.9066	2026-09-24T13:44:12.606Z	Fffffffff0000000000
38.4868	2026-09-24T13:44:13.186Z	S011717000076486c62
38.7411	2026-09-24T13:44:13.440Z	W0000001300021de90d
38.7411	2026-09-24T13:44:13.440Z	R0000001300021de8ff
38.7411	2026-09-24T13:44:13.440Z	E000000000000000000
38.7627	2026-09-24T13:44:13.462Z	M000000000000000000
38.7627	2026-09-24T13:44:13.462Z	Fffffffff0000000000
39.2831	2026-09-24T13:44:13.982Z	S01171700007a486c66
39.6084	2026-09-24T13:44:14.308Z	W0000001400021de8fd
39.6084	2026-09-24T13:44:14.308Z	R0000001400021de8ff
39.6084	2026-09-24T13:44:14.308Z	E000000000000000000
39.6084	2026-09-24T13:44:14.308Z	M000000000000000000
39.6084	2026-09-24T13:44:14.308Z	Fffffffff0000000000
40.0784	2026-09-24T13:44:14.778Z	S01171700007e486c6a
40.4759	2026-09-24T13:44:15.175Z	W0000001500021de901
40.4759	2026-09-24T13:44:15.175Z	R0000001500021de8ff
40.4759	2026-09-24T13:44:15.175Z	E000000000000000000
40.4759	2026-09-24T13:44:15.175Z	M000000000000000000
40.4759	2026-09-24T13:44:15.175Z	Fffffffff0000000000
40.8865	2026-09-24T13:44:15.586Z	S011717000082486c6e
