# host seconds after t0	host UTC at the newline	line
0.6993	2026-09-24T12:47:45.619Z	W0000004500021de901
0.6993	2026-09-24T12:47:45.619Z	R0000004500021de8ff
0.6993	2026-09-24T12:47:45.619Z	E000000000000000000
0.6993	2026-09-24T12:47:45.619Z	M000000000000000000
0.6993	2026-09-24T12:47:45.619Z	Fffffffff0000000000
0.9618	2026-09-24T12:47:45.881Z	S01171700014e486d19
14.6478	2026-09-24T12:47:59.568Z	H7deeef160104000bb8
14.6478	2026-09-24T12:47:59.568Z	S000000000000000004
14.6478	2026-09-24T12:47:59.568Z	S0011110000000218c9
15.4514	2026-09-24T12:48:00.371Z	S001111000004044dc9
16.2526	2026-09-24T12:48:01.172Z	S001111000008044dcd
17.0498	2026-09-24T12:48:01.970Z	S00111100000c044dd1
17.8740	2026-09-24T12:48:02.794Z	S001111000010044dd5
18.0419	2026-09-24T12:48:02.962Z	S001212000010f038b3
18.1551	2026-09-24T12:48:03.075Z	S00131300001177b312
18.9524	2026-09-24T12:48:03.872Z	S00131300001577b316
19.6270	2026-09-24T12:48:04.547Z	S001414000018ce03b8
20.4346	2026-09-24T12:48:05.354Z	S00141400001cce03bc
20.6907	2026-09-24T12:48:05.610Z	S00151500001e1003aa
21.5097	2026-09-24T12:48:06.430Z	S0015150000221003ae
21.5328	2026-09-24T12:48:06.453Z	S001616000022465328
21.5328	2026-09-24T12:48:06.453Z	S011717000022465338
21.5328	2026-09-24T12:48:06.453Z	G020000000104000000
21.5533	2026-09-24T12:48:06.473Z	K000000610022465338
21.5533	2026-09-24T12:48:06.473Z	L000000000001000000
22.3514	2026-09-24T12:48:07.271Z	S011717000026486bf1
22.3971	2026-09-24T12:48:07.317Z	W0000000000021de923
22.3971	2026-09-24T12:48:07.317Z	R0000000000021de900
22.3971	2026-09-24T12:48:07.317Z	E000000000000000000
22.3971	2026-09-24T12:48:07.317Z	M000000000000000000
22.3971	2026-09-24T12:48:07.317Z	Fffffffff0000000000
