# host seconds after t0	host UTC at the newline	line
0.4099	2026-09-24T12:29:34.451Z	S01171700012e486bbe
0.5737	2026-09-24T12:29:34.615Z	W0000003e00021de8fd
0.5737	2026-09-24T12:29:34.615Z	R0000003e00021de8ff
0.5737	2026-09-24T12:29:34.615Z	E000000000000000000
0.6010	2026-09-24T12:29:34.642Z	M000000000000000000
0.6010	2026-09-24T12:29:34.642Z	Fffffffff0000000000
1.2147	2026-09-24T12:29:35.256Z	S011717000132486bc2
14.6492	2026-09-24T12:29:48.690Z	H7deeef160104000bb8
14.6492	2026-09-24T12:29:48.690Z	S000000000000000004
14.6492	2026-09-24T12:29:48.690Z	S0011110000000218c9
15.4597	2026-09-24T12:29:49.501Z	S001111000004044dc9
16.2669	2026-09-24T12:29:50.308Z	S001111000008044dcd
17.0631	2026-09-24T12:29:51.104Z	S00111100000c044dd1
17.8913	2026-09-24T12:29:51.932Z	S001111000010044dd5
18.0502	2026-09-24T12:29:52.091Z	S001212000010f03778
18.1618	2026-09-24T12:29:52.203Z	S00131300001177b1d7
18.9621	2026-09-24T12:29:53.003Z	S00131300001577b1db
19.6463	2026-09-24T12:29:53.687Z	S001414000018ce027d
20.4619	2026-09-24T12:29:54.503Z	S00141400001cce0281
20.7171	2026-09-24T12:29:54.758Z	S00151500001e10026f
21.5051	2026-09-24T12:29:55.546Z	S001515000022100273
21.5516	2026-09-24T12:29:55.593Z	S0016160000224651ed
21.5516	2026-09-24T12:29:55.593Z	S0117170000224651fd
21.5516	2026-09-24T12:29:55.593Z	G020000000104000000
21.5516	2026-09-24T12:29:55.593Z	K0000006100224651fd
21.5516	2026-09-24T12:29:55.593Z	L000000000001000000
22.3538	2026-09-24T12:29:56.395Z	S011717000026486ab6
22.4017	2026-09-24T12:29:56.443Z	W0000000000021de923
22.4017	2026-09-24T12:29:56.443Z	R0000000000021de900
22.4017	2026-09-24T12:29:56.443Z	E000000000000000000
22.4250	2026-09-24T12:29:56.466Z	M000000000000000000
22.4250	2026-09-24T12:29:56.466Z	Fffffffff0000000000
23.1736	2026-09-24T12:29:57.215Z	S01171700002a486aba
23.2674	2026-09-24T12:29:57.309Z	W0000000100021de91a
23.2674	2026-09-24T12:29:57.309Z	R0000000100021de8ff
23.2674	2026-09-24T12:29:57.309Z	E000000000000000000
23.2674	2026-09-24T12:29:57.309Z	M000000000000000000
23.2674	2026-09-24T12:29:57.309Z	Fffffffff0000000000
23.9878	2026-09-24T12:29:58.029Z	S01171700002e486abe
24.1202	2026-09-24T12:29:58.161Z	W0000000200021de8fd
24.1202	2026-09-24T12:29:58.161Z	R0000000200021de8ff
24.1202	2026-09-24T12:29:58.161Z	E000000000000000000
24.1403	2026-09-24T12:29:58.181Z	M000000000000000000
24.1403	2026-09-24T12:29:58.181Z	Fffffffff0000000000
24.7855	2026-09-24T12:29:58.827Z	S011717000032486ac2
24.9793	2026-09-24T12:29:59.020Z	W0000000300021de901
24.9793	2026-09-24T12:29:59.020Z	R0000000300021de8ff
24.9793	2026-09-24T12:29:59.020Z	E000000000000000000
25.0068	2026-09-24T12:29:59.048Z	M000000000000000000
25.0068	2026-09-24T12:29:59.048Z	Fffffffff0000000000
25.5777	2026-09-24T12:29:59.619Z	S011717000036486ac6
25.8499	2026-09-24T12:29:59.891Z	W0000000400021de8fd
25.8499	2026-09-24T12:29:59.891Z	R0000000400021de8ff
25.8499	2026-09-24T12:29:59.891Z	E000000000000000000
25.8499	2026-09-24T12:29:59.891Z	M000000000000000000
25.8499	2026-09-24T12:29:59.891Z	Fffffffff0000000000
26.3746	2026-09-24T12:30:00.416Z	S01171700003a486aca
26.7220	2026-09-24T12:30:00.763Z	W0000000500021de901
26.7220	2026-09-24T12:30:00.763Z	R0000000500021de8ff
26.7220	2026-09-24T12:30:00.763Z	E000000000000000000
26.7220	2026-09-24T12:30:00.763Z	M000000000000000000
26.7220	2026-09-24T12:30:00.763Z	Fffffffff0000000000
27.1965	2026-09-24T12:30:01.238Z	S01171700003e486ace
27.5834	2026-09-24T12:30:01.625Z	W0000000600021de8fd
27.5834	2026-09-24T12:30:01.625Z	R0000000600021de8ff
27.5834	2026-09-24T12:30:01.625Z	E000000000000000000
27.5834	2026-09-24T12:30:01.625Z	M000000000000000000
27.5834	2026-09-24T12:30:01.625Z	Fffffffff0000000000
28.0060	2026-09-24T12:30:02.047Z	S011717000042486ad2
28.4295	2026-09-24T12:30:02.471Z	W0000000700021de901
28.4295	2026-09-24T12:30:02.471Z	R0000000700021de8ff
28.4295	2026-09-24T12:30:02.471Z	E000000000000000000
28.4295	2026-09-24T12:30:02.471Z	M000000000000000000
28.4295	2026-09-24T12:30:02.471Z	Fffffffff0000000000
28.8024	2026-09-24T12:30:02.844Z	S011717000046486ad6
29.3007	2026-09-24T12:30:03.342Z	W0000000800021de8fd
29.3007	2026-09-24T12:30:03.342Z	R0000000800021de8ff
29.3007	2026-09-24T12:30:03.342Z	E000000000000000000
29.3007	2026-09-24T12:30:03.342Z	M000000000000000000
29.3007	2026-09-24T12:30:03.342Z	Fffffffff0000000000
29.6145	2026-09-24T12:30:03.656Z	S01171700004a486ada
30.1346	2026-09-24T12:30:04.176Z	W0000000900021de901
30.1346	2026-09-24T12:30:04.176Z	R0000000900021de8ff
30.1346	2026-09-24T12:30:04.176Z	E000000000000000000
30.1621	2026-09-24T12:30:04.203Z	M000000000000000000
30.1621	2026-09-24T12:30:04.203Z	Fffffffff0000000000
30.4032	2026-09-24T12:30:04.444Z	S01171700004e486ade
30.9938	2026-09-24T12:30:05.035Z	W0000000a00021de8fd
30.9938	2026-09-24T12:30:05.035Z	R0000000a00021de8ff
30.9938	2026-09-24T12:30:05.035Z	E000000000000000000
31.0168	2026-09-24T12:30:05.058Z	M000000000000000000
31.0168	2026-09-24T12:30:05.058Z	Fffffffff0000000000
31.2059	2026-09-24T12:30:05.247Z	S011717000052486ae2
31.8601	2026-09-24T12:30:05.901Z	W0000000b00021de901
31.8601	2026-09-24T12:30:05.901Z	R0000000b00021de8ff
31.8601	2026-09-24T12:30:05.901Z	E000000000000000000
31.8601	2026-09-24T12:30:05.901Z	M000000000000000000
31.8601	2026-09-24T12:30:05.901Z	Fffffffff0000000000
32.0195	2026-09-24T12:30:06.061Z	S011717000056486ae6
32.7322	2026-09-24T12:30:06.773Z	W0000000c00021de8fd
32.7322	2026-09-24T12:30:06.773Z	R0000000c00021de8ff
32.7322	2026-09-24T12:30:06.773Z	E000000000000000000
32.7322	2026-09-24T12:30:06.773Z	M000000000000000000
32.7322	2026-09-24T12:30:06.773Z	Fffffffff0000000000
32.8391	2026-09-24T12:30:06.880Z	S01171700005a486aea
33.5714	2026-09-24T12:30:07.613Z	W0000000d00021de901
33.5714	2026-09-24T12:30:07.613Z	R0000000d00021de8ff
33.5714	2026-09-24T12:30:07.613Z	E000000000000000000
33.5988	2026-09-24T12:30:07.640Z	M000000000000000000
33.5988	2026-09-24T12:30:07.640Z	Fffffffff0000000000
33.6218	2026-09-24T12:30:07.663Z	S01171700005e486aee
34.4290	2026-09-24T12:30:08.470Z	S011717000062486af2
34.4290	2026-09-24T12:30:08.470Z	W0000000e00021de8fd
34.4290	2026-09-24T12:30:08.470Z	R0000000e00021de8ff
34.4514	2026-09-24T12:30:08.493Z	E000000000000000000
34.4514	2026-09-24T12:30:08.493Z	M000000000000000000
34.4514	2026-09-24T12:30:08.493Z	Fffffffff0000000000
35.2487	2026-09-24T12:30:09.290Z	S011717000066486af6
35.2932	2026-09-24T12:30:09.334Z	W0000000f00021de8fd
35.2932	2026-09-24T12:30:09.334Z	R0000000f00021de91f
35.2932	2026-09-24T12:30:09.334Z	E000000000000000000
35.3149	2026-09-24T12:30:09.356Z	M000000000000000000
35.3149	2026-09-24T12:30:09.356Z	Fffffffff0000000000
36.0463	2026-09-24T12:30:10.088Z	S01171700006a486afa
36.1503	2026-09-24T12:30:10.192Z	W0000001000021de923
36.1503	2026-09-24T12:30:10.192Z	R0000001000021de901
36.1503	2026-09-24T12:30:10.192Z	E000000000000000000
36.1723	2026-09-24T12:30:10.214Z	M000000000000000000
36.1723	2026-09-24T12:30:10.214Z	Fffffffff0000000000
36.8723	2026-09-24T12:30:10.914Z	S01171700006e486afe
37.0231	2026-09-24T12:30:11.064Z	W0000001100021de923
37.0231	2026-09-24T12:30:11.064Z	R0000001100021de900
37.0231	2026-09-24T12:30:11.064Z	E000000000000000000
37.0231	2026-09-24T12:30:11.064Z	M000000000000000000
37.0231	2026-09-24T12:30:11.064Z	Fffffffff0000000000
37.6702	2026-09-24T12:30:11.711Z	S011717000072486b02
37.8676	2026-09-24T12:30:11.909Z	W0000001200021de923
37.8676	2026-09-24T12:30:11.909Z	R0000001200021de8ff
37.8676	2026-09-24T12:30:11.909Z	E000000000000000000
37.8951	2026-09-24T12:30:11.936Z	M000000000000000000
37.8951	2026-09-24T12:30:11.936Z	Fffffffff0000000000
38.4567	2026-09-24T12:30:12.498Z	S011717000076486b06
38.7545	2026-09-24T12:30:12.796Z	W0000001300021de90d
38.7545	2026-09-24T12:30:12.796Z	R0000001300021de8ff
38.7545	2026-09-24T12:30:12.796Z	E000000000000000000
38.7545	2026-09-24T12:30:12.796Z	M000000000000000000
38.7545	2026-09-24T12:30:12.796Z	Fffffffff0000000000
39.2701	2026-09-24T12:30:13.311Z	S01171700007a486b0a
39.5973	2026-09-24T12:30:13.639Z	W0000001400021de8fd
39.5973	2026-09-24T12:30:13.639Z	R0000001400021de8ff
39.5973	2026-09-24T12:30:13.639Z	E000000000000000000
39.5973	2026-09-24T12:30:13.639Z	M000000000000000000
39.5973	2026-09-24T12:30:13.639Z	Fffffffff0000000000
40.0937	2026-09-24T12:30:14.135Z	S01171700007e486b0e
40.4712	2026-09-24T12:30:14.513Z	W0000001500021de901
40.4712	2026-09-24T12:30:14.513Z	R0000001500021de8ff
40.4712	2026-09-24T12:30:14.513Z	E000000000000000000
40.4712	2026-09-24T12:30:14.513Z	M000000000000000000
40.4712	2026-09-24T12:30:14.513Z	Fffffffff0000000000
40.8697	2026-09-24T12:30:14.911Z	S011717000082486b12
41.3045	2026-09-24T12:30:15.346Z	W0000001600021de8fd
41.3045	2026-09-24T12:30:15.346Z	R0000001600021de8ff
41.3045	2026-09-24T12:30:15.346Z	E000000000000000000
41.3320	2026-09-24T12:30:15.373Z	M000000000000000000
41.3320	2026-09-24T12:30:15.373Z	Fffffffff0000000000
41.6880	2026-09-24T12:30:15.729Z	S011717000086486b16
42.1637	2026-09-24T12:30:16.205Z	W0000001700021de901
42.1637	2026-09-24T12:30:16.205Z	R0000001700021de8ff
42.1637	2026-09-24T12:30:16.205Z	E000000000000000000
42.1860	2026-09-24T12:30:16.227Z	M000000000000000000
42.1860	2026-09-24T12:30:16.227Z	Fffffffff0000000000
42.4979	2026-09-24T12:30:16.539Z	S01171700008a486b1a
43.0420	2026-09-24T12:30:17.083Z	W0000001800021de8fd
43.0420	2026-09-24T12:30:17.083Z	R0000001800021de8ff
43.0420	2026-09-24T12:30:17.083Z	E000000000000000000
43.0420	2026-09-24T12:30:17.083Z	M000000000000000000
43.0420	2026-09-24T12:30:17.083Z	Fffffffff0000000000
43.2999	2026-09-24T12:30:17.341Z	S01171700008e486b1e
43.8949	2026-09-24T12:30:17.936Z	W0000001900021de901
43.8949	2026-09-24T12:30:17.936Z	R0000001900021de8ff
43.8949	2026-09-24T12:30:17.936Z	E000000000000000000
43.8949	2026-09-24T12:30:17.936Z	M000000000000000000
43.8949	2026-09-24T12:30:17.936Z	Fffffffff0000000000
44.1163	2026-09-24T12:30:18.158Z	S011717000092486b22
44.7413	2026-09-24T12:30:18.783Z	W0000001a00021de8fd
44.7413	2026-09-24T12:30:18.783Z	R0000001a00021de8ff
44.7413	2026-09-24T12:30:18.783Z	E000000000000000000
44.7641	2026-09-24T12:30:18.806Z	M000000000000000000
44.7641	2026-09-24T12:30:18.806Z	Fffffffff0000000000
44.9024	2026-09-24T12:30:18.944Z	S011717000096486b26
