# host seconds after t0	host UTC at the newline	line
0.8476	2026-09-24T10:37:40.038Z	S011717007bea960fc3
1.6733	2026-09-24T10:37:40.863Z	S011717007bee982888
2.4849	2026-09-24T10:37:41.675Z	S011717007bf29a414d
3.2835	2026-09-24T10:37:42.473Z	S011717007bf69c5a12
4.0781	2026-09-24T10:37:43.268Z	S011717007bfa9e72d7
4.8891	2026-09-24T10:37:44.079Z	S011717007bfea08b9c
5.6971	2026-09-24T10:37:44.887Z	S011717007c02a2a461
6.4963	2026-09-24T10:37:45.686Z	S011717007c06a4bd26
7.3061	2026-09-24T10:37:46.496Z	S011717007c0aa6d5eb
8.1102	2026-09-24T10:37:47.300Z	S011717007c0ea8eeb0
8.9402	2026-09-24T10:37:48.130Z	S011717007c12ab0775
9.7240	2026-09-24T10:37:48.914Z	S011717007c16ad203a
10.5321	2026-09-24T10:37:49.722Z	S011717007c1aaf38ff
11.3384	2026-09-24T10:37:50.528Z	S011717007c1eb151c4
