# host seconds after t0	host UTC at the newline	line
0.8467	2026-09-24T10:42:52.984Z	S0117170004fc5f1a4d
14.6844	2026-09-24T10:43:06.822Z	Hf07e91cd0102000bb8
14.6844	2026-09-24T10:43:06.822Z	S0011110000000218c5
15.5140	2026-09-24T10:43:07.651Z	S001111000004044dc5
16.3111	2026-09-24T10:43:08.448Z	S00111100000806668a
16.4039	2026-09-24T10:43:08.541Z	S001212000008789ada
16.5005	2026-09-24T10:43:08.638Z	S001313000009001538
17.3104	2026-09-24T10:43:09.448Z	S00131300000d022dfd
17.9856	2026-09-24T10:43:10.123Z	S0014140000105665e0
18.7793	2026-09-24T10:43:10.917Z	S001414000014587ea5
19.0368	2026-09-24T10:43:11.174Z	S0015150000159865d2
19.8586	2026-09-24T10:43:11.996Z	S0015150000199a7e97
19.8793	2026-09-24T10:43:12.017Z	S001616000019ceb550
19.8793	2026-09-24T10:43:12.017Z	S011717000019d0ce15
20.6885	2026-09-24T10:43:12.826Z	S01171700001dd30315
21.5132	2026-09-24T10:43:13.650Z	S011717000021d51bda
22.3216	2026-09-24T10:43:14.459Z	S011717000025d7349f
23.1110	2026-09-24T10:43:15.248Z	S011717000029d94d64
23.9206	2026-09-24T10:43:16.058Z	S01171700002ddb6629
24.7318	2026-09-24T10:43:16.869Z	S011717000031dd7eee
25.5280	2026-09-24T10:43:17.665Z	S011717000035df97b3
26.3476	2026-09-24T10:43:18.485Z	S011717000039e1b078
27.1457	2026-09-24T10:43:19.283Z	S01171700003de3c93d
27.9594	2026-09-24T10:43:20.097Z	S011717000041e5e202
28.7650	2026-09-24T10:43:20.902Z	S011717000045e7fac7
29.5630	2026-09-24T10:43:21.700Z	S011717000049ea138c
30.3840	2026-09-24T10:43:22.521Z	S01171700004dec2c51
31.1896	2026-09-24T10:43:23.327Z	S011717000051ee4516
31.9837	2026-09-24T10:43:24.121Z	S011717000055f05ddb
32.8091	2026-09-24T10:43:24.946Z	S011717000059f276a0
33.5977	2026-09-24T10:43:25.735Z	S01171700005df48f65
34.4047	2026-09-24T10:43:26.542Z	S011717000061f6a82a
35.2200	2026-09-24T10:43:27.357Z	S011717000065f8c0ef
36.0420	2026-09-24T10:43:28.179Z	S011717000069fad9b4
36.8256	2026-09-24T10:43:28.963Z	S01171700006dfcf279
37.6394	2026-09-24T10:43:29.776Z	S011717000071ff0b3e
38.4393	2026-09-24T10:43:30.576Z	S011717000076012403
39.2607	2026-09-24T10:43:31.398Z	S01171700007a033cc8
40.0549	2026-09-24T10:43:32.192Z	S01171700007e05558d
40.8771	2026-09-24T10:43:33.014Z	S011717000082076e52
41.6724	2026-09-24T10:43:33.809Z	S011717000086098717
42.4894	2026-09-24T10:43:34.626Z	S01171700008a0b9fdc
43.3030	2026-09-24T10:43:35.440Z	S01171700008e0db8a1
44.1088	2026-09-24T10:43:36.246Z	S0117170000920fd166
44.9126	2026-09-24T10:43:37.049Z	S01171700009611ea2b
45.7236	2026-09-24T10:43:37.860Z	S01171700009a1402f0
46.5132	2026-09-24T10:43:38.650Z	S01171700009e161bb5
47.3384	2026-09-24T10:43:39.475Z	S0117170000a218347a
48.1426	2026-09-24T10:43:40.279Z	S0117170000a61a4d3f
48.9364	2026-09-24T10:43:41.073Z	S0117170000aa1c6604
49.7402	2026-09-24T10:43:41.877Z	S0117170000ae1e7ec9
50.5539	2026-09-24T10:43:42.691Z	S0117170000b220978e
51.3560	2026-09-24T10:43:43.493Z	S0117170000b622b053
52.1731	2026-09-24T10:43:44.310Z	S0117170000ba24c918
52.9697	2026-09-24T10:43:45.106Z	S0117170000be26e1dd
53.7717	2026-09-24T10:43:45.908Z	S0117170000c228faa2
54.5787	2026-09-24T10:43:46.715Z	S0117170000c62b1367
55.4095	2026-09-24T10:43:47.546Z	S0117170000ca2d2c2c
56.2163	2026-09-24T10:43:48.353Z	S0117170000ce2f44f1
57.0006	2026-09-24T10:43:49.137Z	S0117170000d2315db6
57.8208	2026-09-24T10:43:49.957Z	S0117170000d633767b
58.6285	2026-09-24T10:43:50.765Z	S0117170000da358f40
59.4205	2026-09-24T10:43:51.557Z	S0117170000de37a805
60.2511	2026-09-24T10:43:52.388Z	S0117170000e239c0ca
61.0344	2026-09-24T10:43:53.171Z	S0117170000e63bd98f
61.8470	2026-09-24T10:43:53.984Z	S0117170000ea3df254
62.6483	2026-09-24T10:43:54.785Z	S0117170000ee400b19
63.4636	2026-09-24T10:43:55.600Z	S0117170000f24223de
64.2699	2026-09-24T10:43:56.406Z	S0117170000f6443ca3
65.0711	2026-09-24T10:43:57.208Z	S0117170000fa465568
65.8871	2026-09-24T10:43:58.024Z	S0117170000fe486e2d
66.6998	2026-09-24T10:43:58.836Z	S0117170001024a86f2
67.4901	2026-09-24T10:43:59.627Z	S0117170001064c9fb7
68.3020	2026-09-24T10:44:00.438Z	S01171700010a4eb87c
