# host seconds after t0	host UTC at the newline	line
0.1976	2026-09-24T12:02:37.082Z	000eff05c16ac5c9
0.1976	2026-09-24T12:02:37.082Z	S00010eff05c16dd850
0.1976	2026-09-24T12:02:37.082Z	S00000eff05c16f2fc9
0.1976	2026-09-24T12:02:37.082Z	S00010eff05c171d9ba
0.1976	2026-09-24T12:02:37.082Z	S00000eff05c17399c9
0.1976	2026-09-24T12:02:37.082Z	S00010eff05c175db96
0.1976	2026-09-24T12:02:37.082Z	S00000eff05c17803c9
0.1976	2026-09-24T12:02:37.082Z	S00010eff05c17add7d
0.1976	2026-09-24T12:02:37.082Z	S00000eff05c17c6dc9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c17edf3f
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c180d7c9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c183e164
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c18541c9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c187e299
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c189abc9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c18be4b1
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c18e15c9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c190e6b4
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c1927fc9
0.2182	2026-09-24T12:02:37.102Z	S00010eff05c194e839
0.2182	2026-09-24T12:02:37.102Z	S00030eff05c196e9c9
0.2182	2026-09-24T12:02:37.102Z	S00000eff05c1991ec9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c19beb0c
0.2383	2026-09-24T12:02:37.122Z	S00000eff05c19d88c9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c19fece1
0.2383	2026-09-24T12:02:37.122Z	S00040eff05c1a1f2c9
0.2383	2026-09-24T12:02:37.122Z	S00000eff05c1a427c9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c1a6ef89
0.2383	2026-09-24T12:02:37.122Z	S00000eff05c1a891c9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c1aaf0ae
0.2383	2026-09-24T12:02:37.122Z	S00030eff05c1acfbc9
0.2383	2026-09-24T12:02:37.122Z	S00000eff05c1af30c9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c1b1f3f4
0.2383	2026-09-24T12:02:37.122Z	S00000eff05c1b39ac9
0.2383	2026-09-24T12:02:37.122Z	S00010eff05c1b5f5b9
0.2593	2026-09-24T12:02:37.143Z	S00030eff05c1b804c9
0.2593	2026-09-24T12:02:37.143Z	S00000eff05c1ba39c9
0.2593	2026-09-24T12:02:37.143Z	S00010eff05c1bcf86d
0.2593	2026-09-24T12:02:37.143Z	S00000eff05c1bea3c9
0.2593	2026-09-24T12:02:37.143Z	S00010eff05c1c0f9e9
0.2593	2026-09-24T12:02:37.143Z	S00020eff05c1c30dc9
0.2593	2026-09-24T12:02:37.143Z	S00000eff05c1c542c9
0.2593	2026-09-24T12:02:37.143Z	S00010eff05c1c7fc44
0.2593	2026-09-24T12:02:37.143Z	S00000eff05c1c9acc9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1cbfe53
0.2801	2026-09-24T12:02:37.164Z	S00040eff05c1ce16c9
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1d04bc9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1d30102
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1d4b5c9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1d702d1
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1d91fc9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1dc04dc
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1dd89c9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1e006b1
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1e1f3c9
0.2801	2026-09-24T12:02:37.164Z	S00010eff05c1e508d7
0.2801	2026-09-24T12:02:37.164Z	S00000eff05c1e65dc9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1e90a4b
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c1eac7c9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1ed0ba8
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c1ef31c9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1f20e75
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c1f39bc9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1f61018
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c1f805c9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1fb1246
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c1fc6fc9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c1ff142d
0.3004	2026-09-24T12:02:37.184Z	S00000eff05c200d9c9
0.3004	2026-09-24T12:02:37.184Z	S00010eff05c2031646
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c20543c9
0.3212	2026-09-24T12:02:37.205Z	S00010eff05c208181f
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c209adc9
0.3212	2026-09-24T12:02:37.205Z	S00010eff05c20c19e6
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c20e17c9
0.3212	2026-09-24T12:02:37.205Z	S00010eff05c2111ce4
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c21281c9
0.3212	2026-09-24T12:02:37.205Z	S00010eff05c2151ece
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c216ebc9
0.3212	2026-09-24T12:02:37.205Z	S00020eff05c21920c9
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c21b55c9
0.3212	2026-09-24T12:02:37.205Z	S00010eff05c21e22f4
0.3212	2026-09-24T12:02:37.205Z	S00000eff05c21fbfc9
0.3421	2026-09-24T12:02:37.226Z	S00010eff05c2222542
0.3421	2026-09-24T12:02:37.226Z	S00030eff05c22429c9
0.3421	2026-09-24T12:02:37.226Z	S00000eff05c2265ec9
0.3421	2026-09-24T12:02:37.226Z	S00010eff05c22927da
0.3421	2026-09-24T12:02:37.226Z	S00000eff05c22ac8c9
0.3421	2026-09-24T12:02:37.226Z	S00010eff05c22d2a17
0.3421	2026-09-24T12:02:37.226Z	S00040eff05c22f32c9
0.3421	2026-09-24T12:02:37.226Z	S00000eff05c23167c9
0.3421	2026-09-24T12:02:37.226Z	S00010eff05c2342da1
0.3627	2026-09-24T12:02:37.247Z	S00000eff05c235d1c9
0.3627	2026-09-24T12:02:37.247Z	S00010eff05c2382f50
0.3627	2026-09-24T12:02:37.247Z	S00040eff05c23a3bc9
0.3627	2026-09-24T12:02:37.247Z	S00000eff05c23c70c9
0.3627	2026-09-24T12:02:37.247Z	S00010eff05c23f3243
0.3627	2026-09-24T12:02:37.247Z	S00000eff05c240dac9
0.3627	2026-09-24T12:02:37.247Z	S00010eff05c24333de
0.3627	2026-09-24T12:02:37.247Z	S00040eff05c24544c9
0.3627	2026-09-24T12:02:37.247Z	S00000eff05c24779c9
0.3627	2026-09-24T12:02:37.247Z	S00010eff05c24a364e
0.3627	2026-09-24T12:02:37.247Z	S00000eff05c24be3c9
0.3627	2026-09-24T12:02:37.247Z	S00010eff05c24e3790
0.3627	2026-09-24T12:02:37.247Z	S00040eff05c2504dc9
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c25282c9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c2553b23
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c256ecc9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c2593cce
0.3828	2026-09-24T12:02:37.267Z	S00040eff05c25b56c9
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c25d8bc9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c26040da
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c261f5c9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c2644266
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c2665fc9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c26944a2
0.3828	2026-09-24T12:02:37.267Z	S00000eff05c26ac9c9
0.3828	2026-09-24T12:02:37.267Z	S00010eff05c26d464e
0.4038	2026-09-24T12:02:37.288Z	S00000eff05c26f33c9
0.4038	2026-09-24T12:02:37.288Z	S00010eff05c2724823
0.4038	2026-09-24T12:02:37.288Z	S00000eff05c2739dc9
0.4038	2026-09-24T12:02:37.288Z	S00010eff05c2764a59
0.4038	2026-09-24T12:02:37.288Z	S00000eff05c27807c9
0.4038	2026-09-24T12:02:37.288Z	S00010eff05c27a4be7
0.4038	2026-09-24T12:02:37.288Z	S00000eff05c27c71c9
0.4038	2026-09-24T12:02:37.288Z	S00010eff05c27f4e66
0.4038	2026-09-24T12:02:37.288Z	S00000eff05c280dbc9
0.4038	2026-09-24T12:02:37.288Z	S00010eff05c2835065
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c28545c9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c2885259
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c289afc9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c28c5471
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c28e19c9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c290560c
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c29283c9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c295585a
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c296edc9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c2995a25
0.4245	2026-09-24T12:02:37.308Z	S00000eff05c29b57c9
0.4245	2026-09-24T12:02:37.308Z	S00010eff05c29e5cfb
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c29fc1c9
0.4448	2026-09-24T12:02:37.329Z	S00010eff05c2a25ed2
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c2a42bc9
0.4448	2026-09-24T12:02:37.329Z	S00040eff05c2a660c9
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c2a895c9
0.4448	2026-09-24T12:02:37.329Z	S00010eff05c2ab6257
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c2acffc9
0.4448	2026-09-24T12:02:37.329Z	S00010eff05c2af644f
0.4448	2026-09-24T12:02:37.329Z	S00020eff05c2b169c9
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c2b39ec9
0.4448	2026-09-24T12:02:37.329Z	S00010eff05c2b66732
0.4448	2026-09-24T12:02:37.329Z	S00000eff05c2b808c9
0.4448	2026-09-24T12:02:37.329Z	S00010eff05c2ba68bc
0.4657	2026-09-24T12:02:37.350Z	S00020eff05c2bc72c9
